neighborhood group,shape id,point id,longitude,latitude,,,,,,,,
Rainier Valley,12,21,-122.2544268,47.51696566,,,,,,,,
Rainier Valley,12,22,-122.246187,47.51070479,,,,,,,,
Rainier Valley,12,23,-122.2417238,47.51070479,,,,,,,,
Rainier Valley,12,24,-122.2448137,47.50258772,,,,,,,,
Rainier Valley,12,25,-122.2499636,47.50142804,,,,,,,,
Rainier Valley,12,26,-122.2503069,47.50815384,,,,,,,,
Rainier Valley,12,27,-122.2561434,47.50699428,,,,,,,,
Rainier Valley,12,28,-122.2520235,47.50142804,,,,,,,,
Rainier Valley,12,29,-122.2640398,47.50165998,,,,,,,,
Rainier Valley,12,30,-122.2633532,47.49609317,,,,,,,,
Rainier Valley,12,31,-122.2709063,47.49539727,,,,,,,,
Rainier Valley,12,32,-122.2709063,47.51070479,,,,,,,,
Rainier Valley,12,33,-122.2750261,47.50861766,,,,,,,,
Rainier Valley,12,34,-122.2812059,47.5072262,,,,,,,,
Rainier Valley,12,35,-122.2805193,47.53133967,,,,,,,,
Rainier Valley,12,36,-122.2836092,47.54547799,,,,,,,,
Rainier Valley,12,37,-122.2928789,47.56308761,,,,,,,,
Rainier Valley,12,38,-122.3028353,47.56100257,,,,,,,,
Rainier Valley,12,39,-122.3048952,47.56308761,,,,,,,,
Rainier Valley,12,40,-122.300432,47.56540423,,,,,,,,
Rainier Valley,12,41,-122.2952822,47.56586754,,,,,,,,
Rainier Valley,12,42,-122.2956255,47.5753645,,,,,,,,
Rainier Valley,12,43,-122.2932222,47.58069132,,,,,,,,
Rainier Valley,12,44,-122.2969988,47.58416503,,,,,,,,
Seward Park,13,0,-122.2765317,47.57130119,,,,,,,,
Seward Park,13,1,-122.2724118,47.56875319,,,,,,,,
Seward Park,13,2,-122.2681203,47.56747915,,,,,,,,
Seward Park,13,3,-122.266747,47.56354099,,,,,,,,
Seward Park,13,4,-122.2615971,47.55670644,,,,,,,,
Seward Park,13,5,-122.2574773,47.55184062,,,,,,,,
Seward Park,13,6,-122.2549023,47.55381018,,,,,,,,
Seward Park,13,7,-122.2559323,47.56157181,,,,,,,,
Seward Park,13,8,-122.2507825,47.56215099,,,,,,,,
Seward Park,13,9,-122.244946,47.55172477,,,,,,,,
Seward Park,13,10,-122.2492375,47.54894409,,,,,,,,
Seward Park,13,11,-122.256619,47.54720609,,,,,,,,
Seward Park,13,12,-122.2579923,47.54407755,,,,,,,,
Seward Park,13,13,-122.2617688,47.53758813,,,,,,,,
Seward Park,13,14,-122.2617688,47.53167742,,,,,,,,
Seward Park,13,15,-122.2664037,47.53156152,,,,,,,,
Seward Park,13,16,-122.267262,47.53944233,,,,,,,,
Seward Park,13,17,-122.265202,47.54187587,,,,,,,,
Seward Park,13,18,-122.2694936,47.54152823,,,,,,,,
Seward Park,13,19,-122.2701802,47.54651088,,,,,,,,
Seward Park,13,20,-122.2701802,47.55068203,,,,,,,,
Seward Park,13,21,-122.2708669,47.55821244,,,,,,,,
Seward Park,13,22,-122.2744717,47.55798075,,,,,,,,
Seward Park,13,23,-122.2741284,47.56412015,,,,,,,,
Seward Park,13,24,-122.2811665,47.56435181,,,,,,,,
Seward Park,13,25,-122.2811665,47.57060629,,,,,,,,
Seward Park,13,26,-122.2792783,47.57060629,,,,,,,,
University District,14,0,-122.3206872,47.67428157,,,,,,,,
University District,14,1,-122.3176832,47.67179639,,,,,,,,
University District,14,2,-122.3121042,47.67127622,,,,,,,,
University District,14,3,-122.3121042,47.67191198,,,,,,,,
University District,14,4,-122.3037786,47.67000467,,,,,,,,
University District,14,5,-122.3038644,47.66832849,,,,,,,,
University District,14,6,-122.300517,47.66827069,,,,,,,,
University District,14,7,-122.3006887,47.66127639,,,,,,,,
University District,14,8,-122.2922773,47.66110297,,,,,,,,
University District,14,9,-122.2910757,47.65879059,,,,,,,,
University District,14,10,-122.2854108,47.65815466,,,,,,,,
University District,14,11,-122.2854108,47.65416552,,,,,,,,
University District,14,12,-122.2944231,47.65318264,,,,,,,,
University District,14,13,-122.2996587,47.64757409,,,,,,,,
University District,14,14,-122.3106451,47.64745845,,,,,,,,
University District,14,15,-122.3123617,47.64919312,,,,,,,,
University District,14,16,-122.3143358,47.6494244,,,,,,,,
University District,14,17,-122.3139925,47.65058081,,,,,,,,
University District,14,18,-122.3163957,47.65121683,,,,,,,,
University District,14,19,-122.3185415,47.65306701,,,,,,,,
University District,14,20,-122.3220605,47.65324046,,,,,,,,
West Seattle,15,0,-122.4209316,47.57677502,,,,,,,,
West Seattle,15,1,-122.4065121,47.58071217,,,,,,,,
West Seattle,15,2,-122.386256,47.59530023,,,,,,,,
West Seattle,15,3,-122.375613,47.58464903,,,,,,,,
West Seattle,15,4,-122.3714932,47.57909103,,,,,,,,
West Seattle,15,5,-122.3714932,47.5677416,,,,,,,,
West Seattle,15,6,-122.3787029,47.56380347,,,,,,,,
West Seattle,15,7,-122.3773296,47.51698654,,,,,,,,
West Seattle,15,8,-122.376643,47.51327649,,,,,,,,
West Seattle,15,9,-122.3972424,47.51397214,,,,,,,,
West Seattle,15,10,-122.3927792,47.52486955,,,,,,,,
West Seattle,15,11,-122.4023922,47.53043331,,,,,,,,
West Seattle,15,12,-122.3955257,47.53761896,,,,,,,,
West Seattle,15,13,-122.3999889,47.54897491,,,,,,,,
West Seattle,15,14,-122.4013622,47.55963336,,,,,,,,
West Seattle,15,15,-122.4123486,47.56959474,,,,,,,,
